customer_state,total_revenue,total_orders
SP,7673188.55,49967
RJ,2783724.26,15420
MG,2341861.47,13738
RS,1152019.17,6521
PR,1074614.19,6017
BA,802416.72,4071
SC,799135.92,4328
GO,516182.51,2443
DF,434512.55,2489
ES,406946.26,2347
PE,378887.48,1894
CE,347678.36,1560
PA,262433.11,1122
MT,257447.65,1129
MA,199913.56,851
PB,181546.0,643
MS,165861.46,849
PI,137077.67,575
RN,117074.43,572
AL,111993.78,460
SE,90651.44,403
TO,72412.08,340
RO,69184.48,292
AM,34873.79,172
AC,24984.86,95
AP,21642.7,84
RR,12462.21,52
